Line item,Description,Value/Spec,Manufacturer,P/N,MFG P/N,Qty,Notes
1,Resistor (SMD),"100 ê, 1%, 1/8W, 0603",Vishay Dale (VA),541-100HCT-ND,CRCW0603100RFKEA,1,
2,Resistor (SMD),"10k ê, 1%, 1/10W, 0603",Vishay Dale (VA),541-10.0KHCT-ND,CRCW060310K0FKEA,2,
3,Resistor (SMD),"1K ê, 1%, 1/10W, 0603",Stackpole Electronics,RMCF0603FT1K00CT-ND,RMCF0603FT1K00,1,
4,Resistor (SMD),"100K ê, 1%, 1/8W, 0603",Vishay Dale (VA),541-100KHCT-ND,CRCW0603100KFKEA,2,
5,Resistor (SMD),"24K ê, 1%, 1/10W, 0603",Yageo (VA),311-24.0KHRCT-ND,RC0603FR-0724KL,1,
6,Resistor (SMD),"10M ê, 1%, 1/8W, 0805",Stackpole Electronics,RMCF0805FT10M0CT-ND,RMCF0805FT10M0,1,
7,Ceramic Capacitor (SMD),"1u F, 25V, X7R, 0603",Samsung Electro-Mechanics (VA),1276-1184-1-ND,CL10B105KA8NNNC,3,
8,Ceramic Capacitor (SMD),"0.1u F, 25V, X7R, 0603",Kemet (VA),399-C0603C104K3RACTUCT-ND,C0603C104K3RACTU,3,
9,Ceramic Capacitor (SMD),"1600p F, 50V, COG/NP0, 0603",Murata Electronics (VA),490-1456-1-ND,GRM1885C1H162JA01D,1,
10,Connector RCPT,1POS,3M ,3M157229-ND,929870-01-01-RA,1,
11,Connector Header Vertical,"1POS, 2.54mm",Adam Tech,2057-PH1-01-UA-ND,PH1-01-UA,2,
12,IC OPAMP,8SOIC,Texas Instruments,296-19545-5-ND,OPA333AID,1,
13,IC OPAMP,8SOIC,Texas Instruments,296-LMP7721MAX/NOPBCT-ND,LMP7721MAX/NOPB,1,
14,Ceramic Capacitor (SMD),"1p F, 50V, C0G, 0603, 10%",Kyocera AVX,581-06035A1R0K4T2A,06035A1R0K4T2A,1,
15,Ceramic Capacitor (SMD),"47u F, 25V, 1206, 20%",TDK,810-C3216X5R1E476M,C3216X5R1E476M160AC,1,
16,Ceramic Capacitor (SMD),"100u F, 10V, 1206, 20%",Murata Electronics ,81-GRM31CR61A107MA8L,GRM31CR61A107MEA8L,1,
